id_produto,categoria,produto,cor,tamanho,preco_unitario,estoque_minimo,estoque_maximo,quantidade_entrada,quantidade_saida,estoque_atual,estoque_fisico,data_entrada,ultima_venda
39,Jaqueta,Jaqueta Slim,Verde,M,247.63,10,33,45,40,5,6,2026-04-29,2026-07-07
40,Bermuda,Bermuda X,Verde,G,167.87,4,35,73,42,31,28,2026-01-25,2026-06-17
41,Blusa,Blusa Premium,Rosa,M,43.45,7,38,81,16,65,62,2025-10-17,2026-02-06
42,Jaqueta,Jaqueta Esporte,Verde,P,151.48,6,38,114,133,0,1,2026-07-06,2026-07-10
43,Jaqueta,Jaqueta Premium,Verde,P,36.09,5,33,79,64,15,12,2024-02-07,2026-05-09
44,Calça,Calça Básica,Rosa,GG,51.2,10,25,86,116,0,3,2024-01-03,2025-12-19
45,Bermuda,Bermuda Esporte,Cinza,P,153.95,9,37,143,61,82,82,2026-05-05,2026-06-20
46,Vestido,Vestido Slim,Vermelha,G,74.33,4,22,132,99,33,34,2024-09-16,2024-09-26
47,Calça,Calça Social,Vermelha,GG,108.69,9,24,89,37,52,51,2024-08-09,2024-12-25
48,Vestido,Vestido Casual,Branca,GG,36.53,6,37,89,53,36,39,2024-07-10,2026-09-25
49,Camiseta,Camiseta Básica,Cinza,G,318.74,10,28,67,16,51,50,2024-02-07,2024-08-31
50,Blusa,Blusa Slim,Branca,M,266.9,9,35,53,72,0,3,2026-07-06,2026-09-02
51,Calça,Calça Esporte,Cinza,G,199.02,8,21,97,56,41,43,2024-02-28,2026-06-03
52,Acessório,Acessório Premium,Azul,M,80.96,9,37,131,89,42,41,2025-10-10,2026-03-07
53,Jaqueta,Jaqueta X,Verde,M,291.49,10,40,50,54,0,0,2026-08-15,2026-08-21
54,Jaqueta,Jaqueta Esporte,Rosa,M,102.55,10,32,101,4,97,100,2025-05-10,2026-02-02
55,Blusa,Blusa Social,Verde,G,82.32,7,22,93,92,1,0,2025-01-24,2025-07-05
56,Acessório,Acessório Social,Vermelha,M,170.32,7,23,55,22,33,33,2024-05-03,2025-01-15
57,Blusa,Blusa X,Rosa,P,36.77,7,26,51,3,48,51,2024-12-29,2026-06-16
58,Vestido,Vestido Premium,Verde,M,"R$ 252,14",7,25,67,79,0,1,2024-02-25,2026-04-24
59,Blusa,Blusa Social,Cinza,M,268.88,7,30,54,68,0,0,2025-07-28,2026-06-16
60,Blusa,Blusa X,Verde,G,274.9,8,36,25,17,8,9,2024-05-07,2026-06-09
61,Vestido,Vestido Social,Azul,P,77.96,6,22,105,14,91,91,2025-02-24,2026-07-19
62,Blusa,Blusa X,Verde,M,221.2,4,40,146,166,0,0,2024-10-01,2025-05-24
63,Calça,Calça Esporte,Rosa,P,197.71,10,34,136,22,114,111,2026-01-26,2026-08-29
64,Acessório,Acessório Slim,Preta,M,175.19,6,24,99,104,0,0,2026-02-27,2026-05-03
65,Vestido,Vestido Premium,Branca,GG,304.89,9,34,81,121,0,3,2025-07-09,2026-04-23
66,Vestido,Vestido Social,Azul,GG,203.85,5,36,149,55,94,95,2024-08-03,2025-01-16
67,Blusa,Blusa Slim,Preta,GG,275.2,3,22,53,60,0,2,2025-11-29,2026-04-24
68,Bermuda,Bermuda Esporte,Branca,P,"R$ 140,69",6,24,62,102,0,1,2026-01-22,2026-04-06
69,Jaqueta,Jaqueta Premium,Azul,G,266.09,9,21,71,81,0,0,2026-08-31,2026-09-16
70,Vestido,Vestido Esporte,Azul,M,285.87,7,39,142,68,74,76,2025-03-23,2026-01-03
71,Jaqueta,Jaqueta Básica,Azul,GG,341.23,7,31,75,99,0,0,2025-09-05,2026-03-15
72,Blusa,Blusa Slim,Cinza,GG,334.5,7,27,118,40,78,79,2025-11-02,2025-11-02
73,Jaqueta,Jaqueta Básica,Preta,M,71.22,3,36,84,72,12,15,2025-03-24,2025-05-18
74,Blusa,Blusa Slim,Azul,G,131.19,9,22,84,120,0,0,2024-03-27,2025-08-20
75,Calça,Calça Premium,Branca,G,338.8,9,34,41,8,33,32,2026-01-24,2026-03-24
76,Blusa,Blusa Esporte,Preta,M,343.95,7,40,64,29,35,38,2026-03-31,2026-08-15
77,Blusa,Blusa Casual,Verde,P,121.34,9,29,43,10,33,32,2024-01-18,2025-06-09
78,Blusa,Blusa Social, Rosa ,P,91.57,4,27,62,95,0,0,2026-04-01,2026-08-01
79,Blusa,Blusa X,Azul,P,320.08,6,26,47,46,1,0,2024-01-15,2024-09-19
80,ACESSÓRIO,Acessório Casual,Vermelha,M,169.78,5,28,133,115,18,18,2024-09-03,2026-05-14
81,Blusa,Blusa Social,Rosa,M,154.72,10,30,40,60,0,0,2025-07-08,2026-03-16
82,Acessório,Acessório Premium,Verde,P,84.17,6,36,67,49,18,16,2024-03-15,2025-07-20
83,Vestido,Vestido X,Azul,P,40.75,3,29,58,16,42,42,2026-09-04,2026-09-07
84,Jaqueta,Jaqueta Esporte,Branca,M,75.93,5,20,36,73,0,2,2025-03-31,2025-04-18
85,Acessório,Acessório Premium,Branca,M,190.75,3,24,54,47,7,7,2025-08-02,2026-03-08
86,Acessório,Acessório X,Rosa  ,M,318.79,5,27,96,47,49,50,2025-06-12,2025-12-17
87,Camiseta,Camiseta Básica,Branca,M,174.19,3,33,67,8,59,61,2024-07-01,2026-03-07
88,Bermuda,Bermuda Social,Azul,M,185.4,10,21,112,26,86,84,2024-03-03,2024-08-08
89,Calça,Calça Premium,Verde  ,G,308.75,3,20,61,100,0,1,2024-08-31,2025-01-22
90,Acessório,Acessório Básica,Rosa,M,276.24,8,32,115,55,60,62,2024-08-28,2025-03-03
91,Jaqueta,Jaqueta Social,Rosa,M,211.55,4,38,41,65,0,0,2025-10-19,2026-03-17
92,Acessório,Acessório Casual,Rosa,GG,97.33,6,23,121,40,81,81,2024-06-20,2026-08-18
93,Blusa,Blusa Social,Cinza,GG,343.23,4,26,104,29,75,77,2026-06-30,2026-08-21
94,Calça,Calça X,Cinza,GG,281.93,10,33,30,53,0,0,2024-02-19,2024-06-11
95,Vestido,Vestido X,Vermelha,GG,146.94,7,32,62,6,56,53,2026-02-14,2026-07-07
96,Camiseta,Camiseta Esporte,Azul,G,98.46,4,22,135,71,64,61,2026-08-29,2026-08-30
97,Jaqueta,Jaqueta X,Vermelha,M,233.22,3,28,51,37,14,13,2025-05-21,2025-06-17
98,Jaqueta,Jaqueta Premium,Branca,G,74.72,4,34,87,84,3,4,2024-07-16,2025-07-20
99,Vestido,Vestido X,Preta,P,72.13,6,30,68,97,0,0,2024-04-13,2024-12-30
100,Blusa,Blusa X,Rosa,P,160.64,5,29,35,8,27,29,2026-02-26,2026-04-06
101,Bermuda,Bermuda Básica,Azul,P,248.61,8,26,133,122,11,11,2025-01-22,2026-05-21
102,Jaqueta,Jaqueta Slim,Azul,P,161.01,5,24,58,16,42,41,2024-04-07,2025-09-29
103,Acessório,Acessório Premium,Verde,G,179.71,10,32,141,12,129,128,2024-10-28,2026-09-06
104,Jaqueta,Jaqueta Premium,Verde,P,187.44,10,36,62,31,31,28,2025-05-27,2026-08-25
105,Camiseta,Camiseta Básica,Rosa,G,253.97,6,29,46,72,0,3,2025-03-18,2026-03-29
106,Blusa,Blusa Casual,Branca,P,74.15,10,30,50,0,50,52,2026-02-09,2026-03-29
107,Jaqueta,Jaqueta X,Vermelha,GG,105.29,8,29,31,15,16,15,2025-12-31,2026-03-14
108,Calça,Calça Premium,Azul,M,79.58,6,35,65,28,37,35,2025-08-03,2025-11-14
109,Jaqueta,Jaqueta Social,Preta,GG,38.6,5,39,80,43,37,38,2025-09-16,2025-12-24
110,Calça,Calça Premium,Branca,GG,154.18,3,24,137,19,118,120,2026-07-12,2026-09-11
111,Camiseta,Camiseta Básica,Vermelha,M,145.87,5,36,58,26,32,35,2024-11-04,2025-05-27
112,Camiseta,Camiseta Casual,Branca,GG,264.38,9,27,109,30,79,79,2025-04-17,2026-02-18
113,Acessório,Acessório Slim,Azul,GG,211.74,3,27,93,63,30,33,2024-09-26,2025-03-06
114,Jaqueta,Jaqueta Slim,Azul,M,280.98,9,40,22,34,0,2,2025-06-19,2026-04-08
115,Jaqueta,Jaqueta Casual,Azul,G,237.18,6,21,21,1,20,18,2025-04-25,2026-07-15
116,Bermuda,Bermuda Casual,Branca,P,311.15,3,24,145,125,20,18,2025-05-14,2026-02-26
117,Vestido,Vestido Premium,Preta,GG,56.77,5,39,139,105,34,37,2025-02-24,2025-10-06
118,Acessório,Acessório Social,Verde,GG,151.68,4,26,82,83,0,2,2025-04-01,2026-09-10
119,Jaqueta,Jaqueta Slim,Branca,GG,329.55,9,32,37,16,21,21,2025-04-07,2026-09-23
120,Acessório,Acessório Social,Preta,GG,277.54,9,29,136,153,0,0,2025-09-14,2026-08-21
121,Jaqueta,Jaqueta Esporte,Vermelha,M,326.68,8,38,97,115,0,1,2024-04-01,2025-01-10
122,Blusa,Blusa Premium,Branca,M,337.75,7,23,98,12,86,86,2026-06-22,2026-06-22
123,Calça,Calça Básica,Verde,G,173.04,6,27,89,67,22,23,2024-10-13,2025-03-24
124,Vestido,Vestido Slim,Cinza,M,190.83,8,30,118,9,109,112,2024-12-09,2026-06-22
125,Calça,Calça Casual,Azul,G,90.39,7,28,140,138,2,0,2024-07-26,2025-05-09
126,CAMISETA,Camiseta Esporte,Vermelha,GG,172.09,7,40,46,74,0,1,2025-07-06,2026-09-13
127,Bermuda,Bermuda X,Preta,P,40.62,9,38,141,123,18,18,2024-01-31,2024-10-27
128,Acessório,Acessório Casual,Verde,G,182.31,5,37,130,92,38,41,2025-07-18,2025-08-03
129,Camiseta,Camiseta Esporte,Rosa,GG,343.01,4,26,76,9,67,65,2024-10-07,2025-12-06
130,Blusa,Blusa Casual,Branca,GG,234.73,3,22,63,77,0,3,2025-03-06,2026-02-28
131,Blusa,Blusa Slim,Vermelha,P,278.74,9,22,138,159,0,2,2024-09-18,2025-07-04
132,Vestido,Vestido X, Branca ,P,282.33,7,28,111,36,75,76,2026-09-03,2026-09-21
133,Jaqueta,Jaqueta Slim,Verde,GG,122.97,6,39,112,137,0,2,2024-08-16,2024-08-20
134,Calça,Calça Casual,Vermelha,M,149.43,8,24,52,7,45,46,2025-06-09,2026-01-28
135,Blusa,Blusa Slim,Vermelha,M,306.42,9,32,20,34,0,2,2025-03-12,2025-04-21
136,Blusa,Blusa Slim,Verde,GG,184.09,3,31,30,5,25,25,2024-04-04,2025-01-26
137,Calça,Calça Esporte,Branca,G,"120,05",6,27,53,4,49,50,2026-06-14,2026-06-21
138,Vestido,Vestido Casual,Branca,GG,108.94,9,35,54,45,9,9,2025-12-26,2026-08-23
139,Jaqueta,Jaqueta Casual,Branca,M,270.43,7,28,90,83,7,4,2024-01-23,2025-09-23
140,JAQUETA,Jaqueta Slim,Verde,G,207.04,8,39,136,64,72,75,2026-04-07,2026-08-21
141,Bermuda,Bermuda Esporte,Azul,P,113.71,5,40,86,22,64,63,2026-07-12,2026-08-04
142,Acessório,Acessório Básica,Azul,P,160.25,5,40,130,129,1,0,2026-01-05,2026-07-26
143,Acessório,Acessório Esporte,Rosa,G,129.11,3,22,33,3,30,28,2026-06-24,2026-06-29
144,Calça,Calça Slim,Cinza,M,196.89,7,27,66,9,57,58,2024-07-15,2024-08-15
145,Camiseta,Camiseta Social,Branca,G,148.84,9,28,114,147,0,0,2025-11-13,2025-12-17
146,Bermuda,Bermuda Slim,Cinza,P,"R$ 171,60",7,20,110,116,0,0,2026-01-21,2026-06-17
147,Calça,Calça X,Preta,M,262.04,8,30,89,27,62,65,2026-01-26,2026-07-12
148,Vestido,Vestido X,Branca,GG,89.73,5,40,150,9,141,144,2024-02-22,2026-07-01
149,Blusa,Blusa Slim,Rosa,P,118.24,8,40,43,34,9,11,2025-01-23,2025-10-28
150,Calça,Calça Básica,Azul,P,158.86,10,29,76,75,1,0,2026-06-29,2026-08-30
151,Acessório,Acessório Casual,Branca,GG,299.55,8,36,95,50,45,45,2026-05-05,2026-05-30
152,Vestido,Vestido Premium,Rosa,P,246.49,8,20,144,34,110,113,2026-08-20,2026-09-04
153,Calça,Calça Esporte,Azul,M,247.52,8,34,109,36,73,75,2025-11-14,2025-12-29
154,Blusa,Blusa X,Azul,M,290.09,8,30,97,92,5,5,2025-01-26,2026-02-25
155,Blusa,Blusa Slim,Preta,G,221.97,8,39,89,124,0,0,2025-07-03,2025-12-29
156,Acessório,Acessório Casual,Vermelha,M,219.44,4,30,138,75,63,60,2024-09-21,2025-08-10
157,Blusa,Blusa Esporte,Cinza,GG,126.53,3,33,144,10,134,137,2026-01-26,2026-06-23
158,Calça,Calça Casual,Branca,GG,37.57,5,39,106,92,14,12,2026-01-31,2026-05-19
159,Camiseta,Camiseta Esporte,Preta,M,150.94,9,25,68,108,0,1,2024-08-31,2024-12-23
160,Jaqueta,Jaqueta Premium,Verde,GG,181.49,7,33,132,67,65,66,2025-11-01,2026-01-19
161,Acessório,Acessório Slim,Verde,P,265.0,7,40,29,54,0,2,2026-01-31,2026-05-13
162,Bermuda,Bermuda Esporte,Vermelha,M,27.56,6,22,50,13,37,37,2024-07-04,2025-02-12
163,Calça,Calça Premium,Rosa,M,308.62,5,38,142,87,55,56,2024-12-25,2025-12-17
164,Acessório,Acessório Social,Vermelha,M,151.35,3,20,126,33,93,91,2026-07-11,2026-09-23
165,Bermuda,Bermuda Casual,Branca,GGG,90.52,9,37,30,23,7,10,2026-01-04,2026-06-30
166,Bermuda,Bermuda Básica,Vermelha,P,284.79,6,39,72,29,43,46,2025-04-17,2025-04-27
167,Blusa,Blusa Social,Azul,GG,64.79,7,38,66,28,38,41,2025-02-18,2025-06-07
168,Calça,Calça Básica,Cinza,M,218.06,7,40,93,0,93,96,2026-04-14,2026-08-05
169,Acessório,Acessório Social,Cinza,GG,323.67,4,29,40,1,39,37,2025-09-04,2026-04-02
170,Blusa,Blusa Casual,Vermelha,P,144.13,10,27,130,169,0,3,2024-08-20,2025-01-30
171,Bermuda,Bermuda Casual,Preta,P,227.85,3,35,128,138,0,0,2024-05-07,2025-11-28
172,Bermuda,Bermuda X,Azul,P,131.52,3,40,37,30,7,4,2024-04-26,2025-03-21
173,Vestido,Vestido Social,Azul,G,154.45,3,22,26,58,0,0,2025-08-22,2025-12-13
174,Vestido,Vestido Social,Vermelha,P,168.54,4,20,52,52,0,0,2024-08-14,2025-05-14
175,Jaqueta,Jaqueta Casual,Azul,P,48.8,3,35,137,39,98,100,2024-12-09,2025-03-22
176,Calça,Calça Básica, Cinza,GG,182.47,8,26,143,153,0,0,2024-04-13,2024-10-06
177,Calça,Calça Slim,Verde,GG,128.31,3,39,70,72,0,0,2024-11-18,2026-08-11
178,Vestido,Vestido Premium,Preta,P,302.09,8,20,125,83,42,41,2025-03-08,2025-04-08
179,Jaqueta,Jaqueta Slim,Preta,G,171.21,8,37,61,65,0,0,2026-03-27,2026-08-31
180,Camiseta,Camiseta Casual,Azul,GG,104.16,8,39,37,28,9,6,2025-02-18,2026-01-10
95,Vestido,Vestido X,Vermelha,GG,156.85,7,32,62,6,56,53,2026-02-14,2026-07-07
180,Camiseta,Camiseta Casual,Azul,GGG,111.18,8,39,37,28,9,6,2025-02-18,2026-01-10
