id_venda,data_venda,hora_venda,id_produto,produto,categoria,cor,tamanho,quantidade,preco_unitario,desconto,valor_total,forma_pagamento,canal,id_cliente,id_vendedor
28,2026-07-12,19:45,67,Acessório Casual,Acessório,Branca,GG,3,71.41,0.0,214.23,Cartão de Débito,Física,398.0,7
29,2026-05-06,16:30,85,Blusa Esporte,Blusa,Branca,P,4,196.04,0.0,"R$ 784,16",Cartão de Débito,Online,218.0,7
30,2026-04-23,13:00,43,Calça Esporte,Calça,Verde,GG,3,192.93,0.0,578.79,PIX,Física,339.0,20
31,2026-04-06,14:30,163,Acessório X,Acessório,Azul,M,3,315.84,0.0,"947,52",Cartão de Crédito,Física,587.0,4
32,2026-06-29,09:00,76,Vestido Básica,Vestido,Branca,G,4,40.17,0.0,160.68,Cartão de Débito,Online,451.0,18
33,2026-05-03,20:00,107,Acessório X,Acessório,Cinza,P,1,290.15,14.51,275.64,Dinheiro,Online,516.0,18
34,2026-04-22,11:15,67,Acessório Casual,Acessório,Branca,GG,2,71.41,0.0,142.82,PIX,Física,121.0,1
35,2026-05-11,12:30,119,Bermuda Casual,Bermuda,Azul,G,1,301.56,15.08,286.48,Cartão de Débito,Física,451.0,22
36,2026-09-19,13:00,138,Jaqueta Esporte,Jaqueta,Preta,M,2,284.13,28.41,539.85,Cartão de Débito,Física,214.0,10
37,2026-05-17,11:15,179,Camiseta X,Camiseta,Verde,P,0,164.41,32.88,624.76,Crediário,Física,,10
38,2026-03-26,14:15,90,Acessório X,Acessório,Verde,G,3,30.01,0.0,90.03,PIX,Online,489.0,20
39,2026-04-11, 09:45,41,Jaqueta Básica,Jaqueta,Preta,M,2,106.21,21.24,191.18,Cartão de Débito,Online,500.0,21
40,2026-04-09,12:00,75,Acessório X,Acessório,Verde,P,2,214.02,0.0,428.04,Cartão de Débito,Física,466.0,18
41,2026-03-14,09:15,156,Camiseta Esporte,Camiseta,Rosa,P,2,338.83,0.0,677.66,Cartão de Crédito,Física,398.0,5
42,2026-06-29,11:30,132,Calça Esporte,Calça,Rosa,P,1,148.17,0.0,148.17,Cartão de Débito,Física,549.0,1
43,2026-05-15,14:45,154,Vestido Social,Vestido,Branca,GG,1,151.36,0.0,151.36,Cartão de Débito,Online,232.0,6
44,2026-03-23,15:30,112,Acessório Slim,Acessório,Branca,M,3,183.67,0.0,551.01,Cartão de Crédito,Física,318.0,23
45,2026-08-26,10:00,81,Calça Social,Calça,Cinza,G,2,132.15,0.0,264.3,Dinheiro,Física,323.0,19
46,2026-04-11,15:45,108,Camiseta Slim,Camiseta,Vermelha,P,2,178.44,0.0,356.88,Cartão de Débito,Física,86.0,14
47,2026-08-23,14:45,148,Bermuda Básica,Bermuda,Verde,P,1,312.83,0.0,312.83,PIX,Física,535.0,25
48,2026-07-21,21:00,58,Bermuda Social,Bermuda,Rosa,GG,1,227.97,22.8,205.17,Dinheiro,Online,531.0,8
49,2026-04-26,21:45,107,Acessório X,Acessório,Cinza,P,2,290.15,0.0,580.3,Cartão de Débito,Física,398.0,8
50,2026-03-18,19:30,112,Acessório Slim,Acessório,Branca,M,1,183.67,0.0,183.67,Cartão de Débito,Online,569.0,20
51,2026-04-02,16:15,169,Camiseta Esporte,Camiseta,Branca,G,3,181.21,54.36,489.27,Crediário,Online,303.0,8
52,2026-03-01,09:30,43,Calça Esporte,Calça,Verde,GG,2,192.93,38.59,347.27,Cartão de Crédito,Online,507.0,21
53,2026-03-13,15:30,111,Blusa Casual,Blusa,Cinza,P,1,244.71,36.71,208.0,Cartão de Crédito,Online,117.0,19
54,2026-09-11,09:00,43,Calça Esporte,Calça,Verde,GG,2,192.93,19.29,366.57,Cartão de Débito,Online,53.0,13
55,2026-05-19,16:30,157,Camiseta Casual,Camiseta,Branca,M,-1,330.3,0.0,990.9,PIX,Online,183.0,23
56,2026-09-05,16:45,119,Bermuda Casual,Bermuda,Azul,G,2,301.56,30.16,572.96,Cartão de Débito,Online,15.0,6
57,2026-03-22,12:00,105,Blusa Casual,Blusa,Preta,G,3,336.63,0.0,1009.89,Cartão de Crédito,Online,,8
58,04/03/2026,11:00,86,Camiseta Social,Camiseta,Verde,G,4,48.73,0.0,194.92,PIX,Online,399.0,4
59,2026-07-14,17:15,150,Camiseta Esporte,Camiseta,Rosa,GG,4,333.08,199.85,1132.47,PIX,Física,332.0,22
60,2026-07-24,14:45,97,Camiseta Esporte,Camiseta,Verde,P,2,207.21,62.16,352.26,Cartão de Débito,Online,,2
61,2026-06-11,16:30,11,Acessório X,Acessório,Verde,GG,3,148.31,0.0,444.93,Dinheiro,Online,555.0,9
62,2026-07-24,10:45,142,Acessório Casual,Acessório,Rosa,P,2,95.8,28.74,162.86,Cartão de Crédito,Física,535.0,3
63,2026-04-04,11:30,49,Blusa Casual,Blusa,Preta,G,4,27.83,5.57,105.75,PIX,Online,339.0,18
64,2026-07-21,14:30,74,Blusa Slim,Blusa,Azul,G,4,69.32,0.0,277.28,PIX,Física,545.0,16
65,2026-03-20,17:45,83,Vestido Premium,Vestido,Preta,GG,2,96.13,0.0,192.26,PIX,Física,366.0,17
66,2026-04-26,14:30,91,Acessório Casual,Acessório,Rosa,G,2,219.92,0.0,439.84,PIX,Física,597.0,22
67,2026-07-24,18:00,79,Camiseta Premium,Camiseta,Branca,M,2,190.64,0.0,381.28,Cartão de Débito,Física,481.0,17
68,2026-06-03,21:45,133,Acessório Esporte,Acessório,Branca,GG,4,224.29,89.72,807.44,PIX,Online,360.0,16
69,2026-04-09,19:15,30,Blusa X,Blusa,Verde,P,2,141.59,0.0,283.18,PIX,Física,536.0,9
70,2026-03-03,19:00,168,Calça X,Calça,Cinza,M,4,94.56,0.0,378.24,Cartão de Crédito,Online,414.0,1
71,2026-03-22,12:45,38,Bermuda Básica,Bermuda,Vermelha,GG,2,179.57,17.96,341.18,dinheiro,Online,385.0,20
72,2026-09-03,11:00,20,Bermuda Slim,Bermuda,Verde,G,1,188.0,18.8,169.2,Crediário,Online,132.0,15
73,2026-08-22,14:00,9,Bermuda X,Bermuda,Verde,M,2,49.95,0.0,99.9,Cartão de Débito,Física,368.0,10
74,2026-04-24,11:00,119,Bermuda Casual,Bermuda,Azul,G,1,301.56,15.08,286.48,Cartão de Débito,Física,378.0,16
75,2026-07-07,16:15,151,Bermuda Social,Bermuda,Branca,M,1,178.95,26.84,152.11,Crediário,Online,164.0,2
76,2026-03-07,11:15,17,Acessório Esporte,Acessório,Rosa,GG,4,196.28,0.0,785.12,Cartão de Crédito,Online,537.0,11
77,2026-07-28,09:15,11,Acessório X,Acessório,Verde,GG,3,148.31,0.0,444.93,Cartão de Débito,Física,,11
78,2026-05-30,10:00,23,Jaqueta Slim,Jaqueta,Vermelha,G,1,75.32,0.0,75.32,Cartão de Débito,Física,492.0,24
79,2026-08-19,17:15,138,Jaqueta Esporte,Jaqueta,Preta,M,3,284.13,0.0,852.39,Cartão de Crédito,Online,219.0,5
80,2026-08-13,11:30,149,Camiseta Esporte,Camiseta,Preta,GG,1,233.3,0.0,233.3,Crediário,Online,,24
81,2026-06-09,13:45  ,161,Calça Esporte,Calça,Azul,M,4,247.59,0.0,990.36,Cartão de Crédito,Online,110.0,12
82,2026-05-09,09:45,157,Camiseta Casual,Camiseta,Branca,M,2,330.3,99.09,561.51,Dinheiro,Física,404.0,25
83,2026-06-03,17:45,64,Camiseta Básica,Camiseta,Rosa,G,3,155.7,23.36,443.74,Crediário,Online,90.0,22
84,2026-09-03,21:45,3,Calça Social,Calça,Azul,GG,2,120.07,0.0,240.14,Cartão de Crédito,Física,207.0,5
85,2026-07-29,12:15,94,Acessório Casual,Acessório,Branca,P,2,275.94,27.59,524.29,Cartão de Débito,Online,,5
86,2026-08-26,18:00,110,Bermuda Slim,Bermuda,Vermelha,M,4,202.62,81.05,729.43,Dinheiro,Física,237.0,15
87,2026-06-06,19:45,143,Acessório X,Acessório,Preta,M,0,296.53,0.0,1186.12,Dinheiro,Física,444.0,4
88,2026-05-02,21:45,85,Blusa Esporte,Blusa,Branca,P,2,196.04,58.81,"R$ 333,27",Cartão de Débito,Online,528.0,13
89,2026-03-14,19:15,40,Bermuda Slim,Bermuda,Azul,M,2,342.64,0.0,685.28,PIX,Física,502.0,4
90,2026-04-27,17:30,134,Acessório Premium,Acessório,Vermelha,G,2,83.99,25.2,142.78,Cartão de Débito,Física,574.0,1
91,2026-03-05,09:15,35,Bermuda Slim,Bermuda,Rosa,M,1,244.56,36.68,207.88,Cartão de Crédito,Online,443.0,9
92,2026-08-05,12:15,143,Acessório X,Acessório,Preta,M,3,296.53,0.0,889.59,Cartão de Débito,Física,120.0,25
93,2026-05-28,21:45,19,Camiseta Social,Camiseta,Rosa,P,1,209.58,20.96,188.62,PIX,Física,320.0,21
94,2026-05-09,15:30,106,Vestido Slim,Vestido,Branca,P,3,241.69,0.0,725.07,Crediário,Física,18.0,12
95,2026-03-02,17:30,72,Jaqueta Básica,Jaqueta,Cinza,M,2,141.91,0.0,283.82,Cartão de Crédito,Online,143.0,24
96,2026-06-12,20:00,87,Acessório Básica,Acessório,Vermelha,GG,4,235.82,141.49,801.79,PIX,Online,400.0,12
97,2026-03-08,19:15,111,Blusa Casual,Blusa,Cinza,P,2,244.71,0.0,489.42,PIX,Online,,10
98,2026-05-01,11:30,88,Acessório Slim,Acessório,Cinza,M,0,72.76,21.83,123.69,Crediário,Física,305.0,10
99,2026-07-16,15:30,141,Bermuda Casual,Bermuda,Branca,P,4,221.26,0.0,885.04,Crediário,Online,329.0,17
100,2026-07-26,13:45,25,Jaqueta Social,Jaqueta,Azul,GG,4,66.53,0.0,266.12,Cartão de Crédito,Online,559.0,6
101,2026-04-25,10:30,50,Blusa Premium,Blusa,Azul,P,3,245.1,73.53,661.77,PIX,Online,557.0,4
102,2026-08-22,15:45,172,Calça Slim,Calça,Preta,GG,1,201.96,0.0,201.96,PIX,Física,180.0,9
103,2026-06-22, 14:45,74,Blusa Slim,Blusa,Azul,G,3,69.32,31.19,176.77,PIX,Online,526.0,13
104,2026-04-23,10:45,160,Bermuda X,Bermuda,Preta,P,4,66.98,0.0,267.92,Cartão de Débito,Online,116.0,6
105,2026-09-08,12:30,168,Calça X,Calça,Cinza,M,1,94.56,9.46,85.1,PIX,Física,183.0,6
106,2026-09-16,11:30,47,Vestido Premium,Vestido,Verde,M,2,326.85,32.68,621.02,PIX,Online,591.0,20
107,2026-04-02,11:45,7,Bermuda Premium,Bermuda,Vermelha,P,4,244.67,0.0,978.68,Dinheiro,Online,186.0,13
108,2026-09-13,14:00,148,Bermuda Básica,Bermuda,Verde,P,2,312.83,62.57,"R$ 563,09",PIX,Online,239.0,11
109,2026-04-22,12:45,99,Vestido Premium,Vestido,Verde,P,1,128.49,0.0,128.49,Cartão de Débito,Física,422.0,17
110,2026-07-23,13:15,80,Jaqueta Básica,Jaqueta,Branca,P,3,59.85,17.96,161.59,PIX,Online,476.0,3
111,2026-06-07,21:15,106,Vestido Slim,Vestido,Branca,P,2,241.69,48.34,435.04,Crediário,Física,382.0,7
112,2026-03-26,19:45,151,Bermuda Social,Bermuda,Branca,M,4,178.95,35.79,680.01,PIX,Física,362.0,20
113,2026-08-07,17:15,1,Bermuda Casual,Bermuda,Verde,M,4,142.26,85.36,483.68,PIX,Online,169.0,6
114,2026-03-06,17:45,60,Jaqueta Premium,Jaqueta,Branca,P,2,148.86,29.77,267.95,Crediário,Online,8.0,13
115,2026-09-24,09:15,162,Camiseta X,Camiseta,Preta,M,4,121.62,0.0,486.48,Dinheiro,Online,153.0,6
116,2026-03-07,10:00,75,Acessório X,Acessório,Verde,P,1,214.02,0.0,214.02,Cartão de Débito,Online,,25
117,2026-08-28,20:00,91,Acessório Casual,Acessório,Rosa,G,1,219.92,11.0,208.92,Dinheiro,Online,384.0,8
118,2026-08-07,16:45,85,Blusa Esporte,Blusa,Branca,P,3,196.04,58.81,529.31,Cartão de Débito,Online,49.0,14
119,2026-04-02,09:45,34,Jaqueta Esporte,Jaqueta,Rosa,P,3,302.83,0.0,908.49,Cartão de Crédito,Online,153.0,6
120,2026-04-13,19:45,145,Bermuda Básica,Bermuda,Branca,G,3,69.88,0.0,209.64,Cartão de Débito,Física,451.0,10
121,2026-04-30,19:45,158,Acessório Esporte,Acessório,Branca,GG,3,96.52,43.43,246.13,PIX,Física,327.0,25
122,2026-06-09,13:00,138,Jaqueta Esporte,Jaqueta,Preta,M,1,284.13,0.0,284.13,Cartão de Crédito,Física,11690.0,2
123,2026-06-15,10:15,81,Calça Social,Calça,Cinza,G,3,132.15,0.0,396.45,Crediário,Online,421.0,11
124,2026-04-02,16:15,46,Camiseta Premium,Camiseta,Branca,P,2,279.67,0.0,559.34,Cartão de Crédito,Online,510.0,22
125,2026-06-03,12:45,133,Acessório Esporte,Acessório,Branca,GG,4,224.29,89.72,807.44,Cartão de Débito,Física,,2
126,2026-07-25,21:15,41,Jaqueta Básica,Jaqueta,Preta,M,3,106.21,0.0,318.63,PIX,Física,56.0,22
127,2026-09-17,18:30,166,Jaqueta Slim,Jaqueta,Azul,M,1,150.6,7.53,"143,07",Cartão de Crédito,Online,414.0,7
128,2026-07-03,16:15,153,Camiseta X,Camiseta,Vermelha,G,2,72.59,0.0,145.18,Crediário,Física,88.0,15
129,2026-08-01,10:15,69,Vestido Slim,Vestido,Preta,M,3,96.79,43.56,246.81,Cartão de Crédito,Online,207.0,21
130,2026-06-26,17:30,137,Acessório Casual,Acessório,Branca,G,3,139.39,41.82,376.35,Cartão de Débito,Online,225.0,22
131,2026-09-04,12:45,129,Jaqueta Básica,Jaqueta,Rosa,GG,1,68.32,0.0,68.32,Cartão de Débito,Online,418.0,3
132,2026-09-11,09:00,29,Acessório Esporte,Acessório,Preta,GG,3,260.84,117.38,665.14,Cartão de Crédito,Online,514.0,4
133,2026-08-17,13:00,111,Blusa Casual,Blusa,Cinza,P,4,244.71,97.88,880.96,Cartão de Débito,Física,567.0,3
134,2026-07-03,13:30,125,Camiseta Premium,Camiseta,Vermelha,M,4,241.67,48.33,918.35,Crediário,Online,253.0,16
135,2026-07-11,13:30,92,Acessório Social,Acessório,Verde,G,1,253.44,0.0,253.44,Cartão de Débito,Online,372.0,24
136,2026-03-12,10:15,77,Bermuda Social,Bermuda,Branca,M,3,299.39,0.0,898.17,Cartão de Débito,Online,550.0,12
137,2026-08-11,09:45,34,Jaqueta Esporte,Jaqueta,Rosa,P,4,302.83,181.7,1029.62,Crediário,Online,35.0,12
138,2026-09-03,17:30,52,Acessório X,Acessório,Cinza,M,2,44.51,0.0,89.02,Cartão de Débito,Física,379.0,20
139,2026-08-05,18:00,171,Vestido Social,Vestido,Cinza,P,2,230.09,0.0,460.18,Cartão de Débito,Online,401.0,12
140,2026-09-09,19:15,119,Bermuda Casual,Bermuda,Azul,G,1,301.56,15.08,286.48,PIX,Online,29.0,1
141,2026-06-28,11:45,106,Vestido Slim,Vestido,Branca,P,2,241.69,839.6054197896588,435.04,PIX,Física,99.0,2
142,2026-08-08,19:45,52,Acessório X,Acessório,Cinza,M,2,44.51,8.9,80.12,Cartão de Crédito,Online,195.0,8
143,2026-06-11,19:45,6,Calça Slim,Calça,Rosa,GG,1,155.87,0.0,155.87,PIX,Online,13.0,24
144,2026-04-25,17:15,99,Vestido Premium,Vestido,Verde,P,1,128.49,6.42,122.07,Crediário,Online,464.0,16
145,2026-07-09,18:30,99,Vestido Premium,Vestido,Verde,P,3,128.49,38.55,346.92,PIX,Online,543.0,12
146,2026-08-25,21:15,27,Camiseta Slim,Camiseta,Cinza,P,3,63.78,28.7,162.64,Crediário,Física,323.0,1
147,2026-05-31,11:30,18,Camiseta Premium,Camiseta,Verde,GG,1,116.96,0.0,116.96,Cartão de Débito,Física,328.0,7
148,2026-05-26,21:00,137,Acessório Casual,Acessório,Branca,G,1,139.39,0.0,139.39,PIX,Física,105.0,13
149,2026-05-08,14:15,170,Vestido Casual,Vestido,Preta,GG,2,331.38,0.0,662.76,Cartão de Crédito,Online,,21
150,2026-05-04,14:15,114,Blusa X,Blusa,Branca,M,3,157.48,0.0,472.44,Cartão de Débito,Online,185.0,17
151,2026-08-13,09:30,102,Vestido Esporte,Vestido,Cinza,G,1,70.17,0.0,70.17,Cartão De Débito,Física,404.0,8
152,2026-08-23,16:00,179,Camiseta X,Camiseta,Verde,P,4,164.41,0.0,657.64,Cartão de Débito,Online,119.0,23
153,2026-05-16,15:45,28,Jaqueta Slim,Jaqueta,Preta,GG,3,79.29,0.0,237.87,PIX,Online,414.0,16
154,2026-07-13,21:30,39,Calça Slim,Calça,Vermelha,P,4,187.06,74.82,673.42,Cartão de Crédito,Online,404.0,14
155,2026-07-12,15:00,117,Camiseta X,Camiseta,Cinza,GG,1,55.14,2.76,52.38,Cartão de Crédito,Online,443.0,7
156,2026-04-18,19:45,51,Camiseta Slim,Camiseta,Vermelha,G,3,196.75,0.0,590.25,Dinheiro,Online,572.0,5
157,2026-09-07,18:00,157,Camiseta Casual,Camiseta,Branca,M,2,330.3,0.0,660.6,Cartão de Crédito,Física,485.0,6
158,2026-06-25,17:45,32,Jaqueta X,Jaqueta,Verde,G,2,221.86,0.0,443.72,PIX,Física,283.0,16
159,2026-04-14,09:30,66,Blusa Esporte,Blusa,Vermelha,M,2,320.22,0.0,640.44,Cartão de Débito,Online,477.0,8
160,2026-07-04,09:45,108,Camiseta Slim,Camiseta,Vermelha,P,4,178.44,0.0,713.76,Cartão de Crédito,Física,100.0,7
161,2026-04-20,11:30,133,Acessório Esporte,Acessório,Branca,GG,1,224.29,0.0,224.29,PIX,Física,360.0,20
162,2026-05-06,11:30,78,Jaqueta Premium,Jaqueta,Rosa,M,2,115.13,11.51,218.75,PIX,Física,135.0,15
163,2026-05-19,12:00,37,Bermuda Básica,Bermuda,Azul,M,4,128.33,51.33,461.99,Cartão de Crédito,Online,,6
164,2026-03-05,09:15  ,31,Calça Social,Calça,Verde,M,4,27.93,0.0,111.72,Crediário,Online,219.0,3
165,2026-09-19,20:00,128,Camiseta Básica,Camiseta,Rosa,P,2,76.26,0.0,152.52,Cartão De Débito,Online,546.0,1
166,2026-03-11,20:15,70,Jaqueta X,Jaqueta,Verde,GG,2,114.15,11.42,216.88,Crediário,Online,438.0,9
167,2026-03-19,09:30,114,Blusa X,Blusa,Branca,M,4,157.48,62.99,"R$ 566,93",PIX,Online,236.0,15
168,2026-03-20,12:30,133,Acessório Esporte,Acessório,Branca,GG,3,224.29,33.64,639.23,Cartão de Débito,Física,220.0,5
169,2026-03-18,15:15,50,Blusa Premium,Blusa,Azul,P,4,245.1,49.02,"931,38",Cartão de Crédito,Física,539.0,24
170,2026-07-01,17:15,118,Acessório Social,Acessório,Rosa,P,3,239.83,107.92,611.57,PIX,Online,,6
171,2026-06-17,15:30,125,Camiseta Premium,Camiseta,Vermelha,M,4,241.67,0.0,966.68,Cartão de Débito,Online,516.0,22
172,2026-09-22,10:15,49,Blusa Casual,Blusa,Preta,G,1,27.83,4.17,23.66,Crediário,Online,505.0,24
173,2026-03-04,15:45,92,Acessório Social,Acessório,Verde,G,1,253.44,0.0,253.44,Dinheiro,Física,566.0,4
174,2026-08-25,11:15,49,Blusa Casual,Blusa,Preta,G,4,27.83,0.0,111.32,Pix,Física,38.0,3
175,2026-06-15,14:30,139,Camiseta Premium,Camiseta,Cinza,M,3,342.19,102.66,923.91,Cartão de Débito,Online,515.0,21
176,2026-06-09,14:15,37,Bermuda Básica,Bermuda,Azul,M,4,128.33,25.67,487.65,Cartão de Crédito,Online,453.0,22
177,2026-07-11,21:00,10,Vestido X,Vestido,Verde,G,1,277.12,0.0,277.12,Cartão de Débito,Física,407.0,25
178,2026-04-17,19:00,117,Camiseta X,Camiseta,Cinza,GG,1,55.14,0.0,55.14,Cartão de Débito,Online,253.0,20
179,2026-04-04,09:45,72,Jaqueta Básica,Jaqueta,Cinza,M,3,141.91,0.0,425.73,Dinheiro,Física,243.0,11
180,2026-08-19,10:00,138,Jaqueta Esporte,Jaqueta,Preta,M,3,284.13,0.0,852.39,PIX,Online,469.0,1
181,2026-05-18,20:30,23,Jaqueta Slim,Jaqueta,Vermelha,G,2,75.32,290.7276582316894,"150,64",Cartão de Crédito,Online,475.0,4
182,2026-06-07,11:45  ,161,Calça Esporte,Calça,Azul,M,4,247.59,49.52,940.84,PIX,Online,139.0,9
183,2026-05-05,10:30,16,Jaqueta Casual,Jaqueta,Verde,G,3,340.95,153.43,869.42,Cartão de Crédito,Online,352.0,15
184,2026-03-08,18:45,100,Calça Social,Calça,Verde,M,1,276.1,0.0,276.1,Crediário,Física,,19
185,2026-07-26,10:30,6,Calça Slim,Calça,Rosa,GG,3,155.87,70.14,397.47,Dinheiro,Física,354.0,21
186,2026-08-06,14:00,12,Vestido Slim,Vestido,Azul,GG,1,100.47,0.0,100.47,Cartão de Crédito,Física,339.0,7
187,2026-03-13,11:00,120,Vestido Social,Vestido,Azul,M,1,331.26,0.0,331.26,Cartão de Débito,Física,418.0,4
188,2026-05-04,13:45,16,Jaqueta Casual,Jaqueta,Verde,G,3,340.95,102.28,920.57,PIX,Online,334.0,22
189,2026-04-03,20:00,91,Acessório Casual,Acessório,Rosa,G,2,219.92,43.98,395.86,Cartão de Crédito,Online,398.0,9
190,2026-05-06,11:00,119,Bermuda Casual,Bermuda,Azul,G,4,301.56,60.31,1145.93,PIX,Física,102.0,11
191,2026-05-23,10:45,22,Camiseta Slim,Camiseta,Preta,GG,1,145.19,0.0,145.19,Cartão de Débito,Online,,19
192,2026-09-11,15:45,155,Camiseta Slim,Camiseta,Azul,G,4,102.86,0.0,411.44,Cartão de Crédito,Online,,3
193,2026-04-24,19:15,62,Calça Esporte,Calça,Vermelha,G,3,154.53,0.0,463.59,PIX,Física,166.0,24
194,2026-05-24,21:15,159,Bermuda Social,Bermuda,Azul,GG,1,133.78,0.0,133.78,Dinheiro,Online,467.0,3
195,2026-07-30,12:30,76,Vestido Básica,Vestido,Branca,G,3,40.17,12.05,108.46,Cartão de Crédito,Online,304.0,19
196,2026-08-29,10:15,61,Vestido Esporte,Vestido,Verde,G,4,93.59,37.44,336.92,Cartão de Crédito,Online,475.0,7
197,2026-08-02,09:45,148,Bermuda Básica,Bermuda,Verde,P,2,312.83,0.0,625.66,Cartão de Débito,Física,246.0,24
198,2026-06-08,19:30,82,Blusa Casual,Blusa,Branca,GG,1,212.8,0.0,212.8,Cartão de Débito,Física,286.0,20
199,2026-06-09,16:45,83,Vestido Premium,Vestido,Preta,GG,2,96.13,28.84,163.42,PIX,Online,555.0,20
200,2026-08-24,16:30,126,Blusa Social,Blusa,Cinza,G,3,91.13,13.67,259.72,Cartão de Crédito,Online,43.0,25
201,2026-08-02,16:45,70,Jaqueta X,Jaqueta,Verde,GG,4,114.15,0.0,456.6,Crediário,Física,92.0,9
202,2026-05-08, 13:15 ,14,Acessório Básica,Acessório,Azul,M,4,310.42,124.17,1117.51,Cartão de Débito,Online,444.0,2
203,2026-08-21,18:00,86,Camiseta Social,Camiseta,Verde,G,2,48.73,0.0,97.46,PIX,Online,365.0,13
204,2026-09-21,18:45,11,Acessório X,Acessório,Verde,GG,3,148.31,66.74,378.19,Cartão de Débito,Física,414.0,10
205,2026-05-24,14:00,57,Jaqueta Básica,Jaqueta,Preta,P,3,63.55,19.06,171.59,Cartão de Débito,Física,209.0,1
206,2026-04-18,16:30,62,Calça Esporte,Calça,Vermelha,G,2,154.53,0.0,309.06,Crediário,Online,315.0,25
207,2026-08-30,20:00,27,Camiseta Slim,Camiseta,Cinza,P,1,63.78,0.0,63.78,Dinheiro,Física,132.0,12
208,2026-05-23,10:15,32,Jaqueta X,Jaqueta,Verde,G,1,221.86,22.19,199.67,Dinheiro,Física,16.0,3
209,2026-06-03,15:15,68,Vestido Slim,Vestido,Rosa,G,2,315.44,0.0,630.88,Cartão de Crédito,Física,454.0,1
210,2026-03-24,15:00,149,Camiseta Esporte,Camiseta,Preta,GG,1,233.3,11.66,221.64,Dinheiro,Física,300.0,20
