id_produto,categoria,produto,cor,tamanho,preco_unitario,estoque_minimo,estoque_maximo,quantidade_entrada,quantidade_saida,estoque_atual,estoque_fisico,data_entrada,ultima_venda
54,Bermuda,Bermuda Básica,Cinza,G,218.25,6,36,81,12,69,72,2025-05-19,2026-05-04
55,Blusa,Blusa Básica,Preta,M,52.2,7,33,92,115,0,0,2026-01-27,2026-02-03
56,Bermuda,Bermuda Esporte,Preta,G,210.61,6,37,91,9,82,83,2024-01-21,2025-05-26
57,Jaqueta,Jaqueta Básica,Preta,P,63.55,8,29,46,17,29,28,2026-02-16,2026-06-07
58,Bermuda,Bermuda Social,Rosa,GG,227.97,9,37,146,153,0,0,2025-05-10,2025-05-13
59,Bermuda,Bermuda Esporte,Preta,G,70.44,6,34,134,73,61,64,2024-07-05,2025-06-06
60,Jaqueta,Jaqueta Premium,Branca,P,148.86,9,34,39,56,0,2,2026-06-18,2026-08-14
61,Vestido,Vestido Esporte,Verde,G,"93,59",5,24,126,156,0,3,2025-09-11,2026-04-29
62,Calça,Calça Esporte,Vermelha,XXXG,154.53,9,38,112,75,37,40,2025-04-19,2025-09-18
63,Vestido,Vestido Premium,Preta,M,347.98,6,23,76,115,0,0,2025-07-05,2025-07-28
64,Camiseta,Camiseta Básica,Rosa,G,155.7,6,29,124,20,104,102,2025-06-03,2026-03-06
65,Bermuda,Bermuda Premium,Cinza,P,133.58,3,31,45,64,0,1,2024-01-10,2025-10-26
66,Blusa,Blusa Esporte,Vermelha,M,320.22,7,34,73,21,52,54,2025-12-24,2026-04-25
67,Acessório,Acessório Casual,Branca,GG,71.41,7,23,97,111,0,0,2025-11-12,2026-07-09
68,Vestido,Vestido Slim,Rosa,G,315.44,5,23,80,99,0,3,2026-03-29,2026-08-27
69,Vestido,Vestido Slim,Preta,M,96.79,7,39,108,145,0,0,2025-02-09,2026-02-25
70,Jaqueta,Jaqueta X,Verde,GG,114.15,7,32,69,42,27,26,2024-11-23,2026-03-17
71,Jaqueta,Jaqueta Social,Azul,P,217.69,6,23,63,47,16,17,2024-03-06,2024-09-06
72,JAQUETA,Jaqueta Básica,Cinza,M,141.91,3,27,107,66,41,44,2025-12-05,2026-03-29
73,Calça,Calça X,Verde,M,285.06,5,20,91,66,25,22,2025-06-29,2026-04-24
74,Blusa,Blusa Slim,Azul,G,69.32,7,31,73,73,0,0,2024-08-08,2026-01-26
75,Acessório,Acessório X,Verde,P,214.02,10,40,144,109,35,34,2025-01-03,2025-01-14
76,Vestido,Vestido Básica,Branca,G,40.17,7,27,126,132,0,0,2026-02-13,2026-06-13
77,Bermuda,Bermuda Social,Branca,M,"R$ 299,39",4,21,135,45,90,92,2024-02-12,2024-04-14
78,Jaqueta,Jaqueta Premium,Rosa,M,115.13,4,23,147,107,40,40,2024-02-18,2026-04-21
79,Camiseta,Camiseta Premium,Branca,M,190.64,10,22,105,58,47,48,2025-11-06,2026-04-18
80,Jaqueta,Jaqueta Básica,Branca,P,"R$ 59,85",3,37,70,38,32,33,2026-07-06,2026-08-07
81,Calça,Calça Social,Cinza,G,"132,15",4,35,140,42,98,96,2024-08-13,2025-03-04
82,Blusa,Blusa Casual,Branca,GG,212.8,6,35,99,135,0,3,2025-08-16,2026-05-15
83,Vestido,Vestido Premium,Preta,GG,96.13,6,33,55,89,0,0,2025-04-05,2026-05-31
84,Calça,Calça Básica,Rosa,G,71.75,3,28,37,76,0,1,2026-02-07,2026-07-20
85,Blusa,Blusa Esporte,Branca,P,196.04,4,27,56,63,0,2,2025-12-31,2026-02-13
86,Camiseta,Camiseta Social,Verde,G,48.73,5,26,128,-70,58,59,2024-12-25,2026-05-12
87,Acessório,Acessório Básica,Vermelha,GG,235.82,6,33,52,8,44,45,2025-01-29,2026-07-08
88,Acessório,Acessório Slim,Cinza,M,72.76,9,20,109,75,34,35,2024-02-22,2025-09-20
89,Camiseta,Camiseta Casual,Rosa,M,234.34,7,30,135,154,0,1,2025-07-12,2026-05-16
90,Acessório,Acessório X,Verde,G,30.01,6,23,66,93,0,0,2026-09-09,2026-09-23
91,Acessório,Acessório Casual,Rosa,G,219.92,10,36,115,47,68,70,2026-09-05,2026-09-16
92,Acessório,Acessório Social,Verde,G,253.44,4,28,97,31,66,65,2024-11-05,2026-08-06
93,Calça,Calça Esporte,Rosa,P,138.76,10,33,129,51,78,77,2024-08-12,2026-09-20
94,Acessório,Acessório Casual,Branca,P,275.94,8,39,103,12,91,94,2024-01-09,2024-06-06
95,Blusa,Blusa Premium,Preta,M,80.71,10,20,128,50,78,77,2024-05-06,2025-10-19
96,Blusa,Blusa Básica,Vermelha,GG,173.24,4,33,49,47,2,2,2025-09-29,2025-11-04
97,Camiseta,Camiseta Esporte,Verde,P,207.21,9,21,127,95,32,34,2024-01-28,2026-05-11
98,Vestido,Vestido X,Vermelha,GG,56.44,5,26,52,38,14,12,2024-05-27,2026-02-14
99,Vestido,Vestido Premium,Verde,P,128.49,6,29,107,54,53,50,2026-08-11,2026-09-05
100,Calça,Calça Social,Verde,M,276.1,9,38,97,128,0,0,2024-12-03,2025-01-10
101,Acessório,Acessório Premium,Verde,P,187.62,6,40,150,50,100,100,2025-09-06,2025-10-04
102,Vestido,Vestido Esporte,Cinza,G,70.17,10,27,51,89,0,3,2025-09-19,2026-07-05
103,Acessório,Acessório Casual,Vermelha,GG,68.64,10,25,45,49,0,0,2024-02-09,2025-05-08
104,Acessório,Acessório Casual,Cinza,GG,288.54,3,25,93,111,0,0,2025-02-10,2025-06-22
105,Blusa,Blusa Casual,Preta,G,336.63,6,38,68,68,0,1,2025-12-19,2026-06-20
106,Vestido,Vestido Slim,Branca,P,241.69,7,23,21,57,0,2,2024-02-22,2024-08-27
107,Acessório,Acessório X,Cinza,P,290.15,8,29,146,40,106,107,2024-01-17,2026-03-27
108,Camiseta,Camiseta Slim,Vermelha,P,178.44,6,40,94,11,83,82,2025-11-17,2026-04-08
109,Blusa,Blusa X,Preta,GG,204.96,8,20,144,153,0,1,2025-10-23,2026-09-06
110,Bermuda,Bermuda Slim,Vermelha,M,202.62,5,31,107,94,13,14,2026-01-24,2026-03-04
111,Blusa,Blusa Casual,Cinza,gg,244.71,3,28,120,98,22,19,2026-02-22,2026-05-01
112,Acessório,Acessório Slim,Branca,M,183.67,4,33,89,28,61,62,2026-01-09,2026-06-14
113,Acessório,Acessório Premium,Cinza,M,131.81,7,26,130,107,23,22,2025-12-01,2026-01-30
114,Blusa,Blusa X,Branca,M,157.48,7,37,47,73,0,0,2026-01-13,2026-02-28
115,Camiseta,Camiseta Casual,Preta,GG,289.89,3,25,47,41,6,9,2026-08-29,2026-09-19
116,Bermuda,Bermuda Premium,Cinza,XXXG,205.39,4,20,96,98,0,3,2026-01-04,2026-06-25
117,Camiseta,Camiseta X,Cinza,GG,55.14,8,22,93,128,0,3,2024-08-24,2024-09-19
118,Acessório,Acessório Social,Rosa,P,239.83,7,34,38,66,0,1,2026-08-31,2026-09-10
119,Bermuda,Bermuda Casual,Azul,G,301.56,3,22,98,76,22,21,2024-03-30,2025-01-19
120,Vestido,Vestido Social,Azul,M,331.26,9,34,80,113,0,3,2026-03-18,2026-04-27
121,Bermuda,Bermuda Social,Azul,G,325.4,6,35,139,45,94,96,2026-02-01,2026-08-27
122,Vestido,Vestido Premium,Verde,P,276.24,6,30,73,37,36,34,2024-12-10,2025-07-04
123,Camiseta,Camiseta Esporte,Rosa,GG,328.04,3,25,31,46,0,3,2025-01-04,2025-01-05
124,Jaqueta,Jaqueta Slim, Branca ,GG,216.95,10,29,56,48,8,8,2025-10-31,2026-03-12
125,Camiseta,Camiseta Premium,Vermelha  ,M,241.67,10,23,81,60,21,20,2025-06-16,2025-08-30
126,BLUSA,Blusa Social,Cinza,G,91.13,3,30,108,131,0,3,2024-11-04,2025-11-05
127,Bermuda,Bermuda Premium,Azul,G,154.3,8,25,120,65,55,52,2026-05-20,2026-09-11
128,CAMISETA,Camiseta Básica,Rosa,P,76.26,3,40,141,132,9,6,2026-06-04,2026-08-08
129,Jaqueta,Jaqueta Básica,Rosa,GG,68.32,10,38,38,39,0,0,2026-08-10,2026-09-21
130,Blusa,Blusa Básica,Preta,GG,149.83,7,37,98,21,77,79,2026-01-23,2026-05-03
131,Bermuda,Bermuda Casual,Branca,P,279.83,7,23,58,79,0,0,2024-12-06,2026-07-11
132,Calça,Calça Esporte,Rosa,P,148.17,8,28,83,60,23,26,2024-02-03,2024-08-21
133,Acessório,Acessório Esporte, Branca ,GG,224.29,5,38,141,76,65,65,2026-04-01,2026-04-29
134,Acessório,Acessório Premium,Vermelha,G,83.99,4,37,133,72,61,62,2024-09-12,2025-02-25
135,Bermuda,Bermuda Premium,Preta,GG,"157,30",9,40,139,139,0,2,2025-04-09,2025-05-02
136,Blusa,Blusa Social,Vermelha,GG,27.43,4,40,120,84,36,38,2026-02-04,2026-08-02
137,Acessório,Acessório Casual,Branca,G,139.39,3,26,85,36,49,51,2025-10-20,2026-01-23
138,Jaqueta,Jaqueta Esporte,Preta,M,284.13,9,31,35,24,11,14,2024-05-14,2025-07-31
139,Camiseta,Camiseta Premium,Cinza,M,342.19,3,31,120,56,64,67,2026-03-01,2026-08-03
140,Calça,Calça Básica,Vermelha,G,343.31,10,25,28,34,0,1,2026-08-16,2026-08-17
141,Bermuda,Bermuda Casual,Branca,P,221.26,4,34,45,82,0,0,2026-03-26,2026-06-02
142,Acessório,Acessório Casual,Rosa,P,95.8,6,22,109,134,0,1,2024-08-03,2026-02-12
143,Acessório,Acessório X,Preta,M,296.53,8,21,107,135,0,0,2025-05-22,2025-06-08
144,Jaqueta,Jaqueta Casual,Rosa,M,"R$ 110,08",4,30,70,79,0,2,2026-05-25,2026-08-16
145,Bermuda,Bermuda Básica,Branca,G,69.88,8,26,72,20,52,52,2025-10-15,2026-04-27
146,Blusa,Blusa X,Azul,GG,74.97,7,25,69,9,60,62,2026-05-09,2026-09-15
147,Jaqueta,Jaqueta Básica,Vermelha,P,340.79,8,40,107,77,30,30,2026-07-10,2026-09-09
148,Bermuda,Bermuda Básica,Verde,P,312.83,8,30,107,99,8,10,2024-06-20,2024-10-21
149,Camiseta,Camiseta Esporte,Preta,GG,233.3,3,31,134,46,88,90,2025-12-17,2026-06-18
150,Camiseta,Camiseta Esporte,Rosa,GG,333.08,7,34,47,66,0,2,2026-06-23,2026-07-01
151,Bermuda,Bermuda Social,Branca,M,178.95,3,28,131,99,32,30,2024-01-22,2025-08-13
152,Jaqueta,Jaqueta Slim,Verde,P,272.44,8,27,124,156,0,2,2024-07-28,2026-01-03
153,Camiseta,Camiseta X,Vermelha,G,72.59,9,21,118,29,89,92,2024-08-16,2026-08-13
154,Vestido,Vestido Social,Branca,GG,151.36,7,27,44,9,35,35,2025-03-29,2026-09-19
155,Camiseta,Camiseta Slim,Azul,G,102.86,5,31,127,52,75,77,2025-11-25,2026-05-17
156,Camiseta,Camiseta Esporte,Rosa,P,338.83,3,22,70,14,56,55,2026-01-21,2026-05-26
157,Camiseta,Camiseta Casual,Branca,M,330.3,6,34,74,20,54,55,2025-04-18,2025-07-16
158,Acessório,Acessório Esporte, Branca ,GG,96.52,9,29,150,4,146,144,2024-08-12,2026-04-22
159,Bermuda,Bermuda Social,Azul,GG,133.78,5,33,65,17,48,50,2024-07-04,2026-09-12
160,Bermuda,Bermuda X,Preta,P,66.98,5,20,31,19,12,12,2025-08-13,2026-03-26
161,Calça,Calça Esporte,Azul,M,247.59,5,23,41,38,3,0,2026-07-14,2026-08-24
162,Camiseta,Camiseta X,Preta,M,121.62,4,40,83,54,29,30,2024-09-16,2025-09-28
163,Acessório,Acessório X,Azul,M,315.84,9,35,137,68,69,69,2025-06-14,2026-02-11
164,Camiseta,Camiseta Casual,Preta,P,136.66,3,34,127,53,74,76,2025-07-25,2026-02-27
165,Acessório,Acessório Social,Azul,M,195.2,3,30,35,12,23,25,2024-05-28,2025-10-04
166,Jaqueta,Jaqueta Slim,Azul,M,150.6,10,30,86,39,47,47,2024-10-28,2025-06-03
167,Jaqueta,Jaqueta Premium,Vermelha,G,235.49,4,37,34,11,23,24,2025-06-23,2026-05-12
168,Calça,Calça X,Cinza,M,94.56,8,25,126,71,55,58,2024-07-19,2025-01-27
169,Camiseta,Camiseta Esporte,Branca,G,181.21,6,32,111,27,84,83,2025-11-10,2026-01-08
170,Vestido,Vestido Casual, Preta,GG,331.38,9,22,86,71,15,17,2026-09-23,2026-09-24
171,Vestido,Vestido Social,Cinza,P,230.09,8,22,64,46,18,18,2024-11-15,2026-02-01
172,Calça,Calça Slim,Preta,GG,201.96,9,32,23,37,0,0,2024-08-31,2026-08-03
173,Acessório,Acessório Esporte,Branca,GG,88.14,9,26,70,61,9,12,2026-07-11,2026-08-21
174,Jaqueta,Jaqueta Casual,Azul,P,91.06,4,39,61,14,47,47,2026-08-14,2026-09-08
175,Bermuda,Bermuda Casual,Azul,GG,123.61,10,24,79,85,0,0,2025-01-09,2025-08-20
176,Acessório,Acessório Slim,Verde,P,118.62,4,38,126,100,26,29,2026-06-06,2026-09-15
177,Blusa,Blusa X,Branca,G,221.36,7,36,77,6,71,72,2025-09-20,2026-04-04
178,Bermuda,Bermuda Slim,Cinza,P,251.61,3,21,26,12,14,17,2024-11-09,2026-03-07
179,Camiseta,Camiseta X,Verde,P,164.41,8,34,66,28,38,37,2025-05-18,2025-05-29
180,Acessório,Acessório Esporte,Azul,G,45.75,10,35,71,3,68,68,2025-02-18,2026-05-23
137,Acessório,Acessório Casual,Branca,G,127.08,3,26,85,36,49,51,2025-10-20,2026-01-23
47,Vestido,Vestido Premium,Verde,M,297.99,8,36,84,17,67,64,2025-02-28,2026-05-14
